# Add/extend rows here. Columns are required.
# NOTE: Starter list only. Paste the full DSCC/DNCC moholla list into this CSV to make it complete.
ccCode,zoneCode,wardCode,areaCode,nameBn,nameEn
DSCC,DSCC-Z05,DSCC-W22,DSCC-W22-RAMPURA,রামপুরা,Rampura
DSCC,DSCC-Z05,DSCC-W22,DSCC-W22-PURBA-RAMPURA,পূর্ব রামপুরা,East Rampura
DSCC,DSCC-Z05,DSCC-W22,DSCC-W22-DAKKHIN-RAMPURA,দক্ষিণ রামপুরা,South Rampura
DSCC,DSCC-Z05,DSCC-W22,DSCC-W22-POSHCHIM-RAMPURA,পশ্চিম রামপুরা,West Rampura
DSCC,DSCC-Z05,DSCC-W23,DSCC-W23-BANASREE,বনশ্রী,Banasree
DSCC,DSCC-Z05,DSCC-W23,DSCC-W23-UTTAR-BANASREE,উত্তর বনশ্রী,North Banasree
DSCC,DSCC-Z05,DSCC-W23,DSCC-W23-DAKKHIN-BANASREE,দক্ষিণ বনশ্রী,South Banasree
DSCC,DSCC-Z05,DSCC-W23,DSCC-W23-PURBA-BANASREE,পূর্ব বনশ্রী,East Banasree
DSCC,DSCC-Z05,DSCC-W23,DSCC-W23-POSHCHIM-BANASREE,পশ্চিম বনশ্রী,West Banasree
DSCC,DSCC-Z05,DSCC-W24,DSCC-W24-KHILGAON,খিলগাঁও,Khilgaon
DSCC,DSCC-Z05,DSCC-W24,DSCC-W24-KHILGAON-BLOCK-A,খিলগাঁও ব্লক-এ,Khilgaon Block A
DSCC,DSCC-Z05,DSCC-W24,DSCC-W24-KHILGAON-BLOCK-C,খিলগাঁও ব্লক-সি,Khilgaon Block C
DSCC,DSCC-Z05,DSCC-W24,DSCC-W24-BASABO,বাসাবো,Basabo
DSCC,DSCC-Z05,DSCC-W24,DSCC-W24-GORAN,গোড়ান,Goran
DSCC,DSCC-Z05,DSCC-W25,DSCC-W25-MUGDA,মুগদা,Mugda
DSCC,DSCC-Z04,DSCC-W19,DSCC-W19-MALIBAGH,মালিবাগ,Malibagh
DSCC,DSCC-Z04,DSCC-W19,DSCC-W19-SHANTINAGAR,শান্তিনগর,Shantinagar
DSCC,DSCC-Z04,DSCC-W20,DSCC-W20-MOGHBAZAR,মগবাজার,Moghbazar
DSCC,DSCC-Z01,DSCC-W02,DSCC-W02-PALTAN,পল্টন,Paltan
